"d(N,RE)","d(N,LE)","d(N,RM)","d(N,LM)","d(N,F)"
48.75751058,36.56813294,39.68340401,36.20642008,107.468379
49.44719922,32.70057773,45.41260789,35.50917719,108.3927697
46.30658551,31.91314429,43.85808583,36.86664903,107.893551
46.13205244,33.556354,44.07059688,36.98250301,110.3380994
46.36574394,29.24724202,43.84516622,40.04699208,104.2904251
46.51022539,32.1939396,44.30125132,33.87178627,105.7848409
46.13547016,30.630885,44.61386594,36.9815857,110.2165698
44.50156504,30.38488586,40.2782219,36.2875123,105.500629
47.81350784,36.86852393,36.7967474,32.24569902,109.3105302
46.84711478,29.13981484,40.80478669,34.79049492,107.6341135
51.97393587,32.46392166,43.61226836,32.94790685,108.688788
47.04238882,31.1174757,42.07913886,35.34303737,105.5620335
48.26937109,27.87221339,39.0658199,27.37226277,111.5075454
48.713883,31.56405459,42.23843035,30.66001014,106.4766706
43.44357168,28.36788662,40.98911963,34.63416001,106.999652
48.13439734,32.88833399,38.63396509,34.11788413,104.5779021
47.29058645,28.93764829,41.60999427,31.38409709,110.2246456
47.38423759,34.07280185,37.2966745,34.30628541,110.4636119
50.79938797,30.07703026,42.6368899,33.08281145,104.3311033
49.04915125,28.15302005,40.87429271,33.58208955,113.1028696
51.07528932,33.50076144,41.81240872,33.77441404,109.2139163
44.15368164,29.70570098,43.95532253,34.99573007,105.7190564
49.22237033,33.49179499,43.32527924,34.39144642,107.9337584
